OVG;motief11;hfdvm2;waarde_modal_split;verplaatsingen;MeetType;DagType
71;wandelen, rondrijden, joggen;te voet;0,10695107103574;2280;in aantal verplaatsingen per dag;alle dagen
71;wandelen, rondrijden, joggen;tram;0,00103414792181894;18;in aantal verplaatsingen per dag;alle dagen
71;wandelen, rondrijden, joggen;trein;0,000671915945702665;15;in aantal verplaatsingen per dag;alle dagen
71;werken;anders;0,0072641953502374;77;in aantal verplaatsingen per dag;alle dagen
71;werken;autobestuurder;0,35562122425721;6582;in aantal verplaatsingen per dag;alle dagen
71;werken;autopassagier +18;0,016017502489766;277;in aantal verplaatsingen per dag;alle dagen
71;werken;autopassagier -18;0,00123278509312766;24;in aantal verplaatsingen per dag;alle dagen
71;werken;brom-/snorfiets of motor;0,00536557490770398;65;in aantal verplaatsingen per dag;alle dagen
71;werken;elektrische fiets;0,0606467145203702;1210;in aantal verplaatsingen per dag;alle dagen
71;werken;elektrische step/monowheel/hoverboard;0,00343101140200005;41;in aantal verplaatsingen per dag;alle dagen
71;werken;lijnbus;0,0116023244842207;144;in aantal verplaatsingen per dag;alle dagen
71;werken;metro;0,000700232775673747;14;in aantal verplaatsingen per dag;alle dagen
71;werken;niet-elektrische fiets;0,0576158266768391;1060;in aantal verplaatsingen per dag;alle dagen
71;werken;speed pedelec;0,0105886129237237;198;in aantal verplaatsingen per dag;alle dagen
71;werken;taxi of vergelijkbaar;0,00031421420846652;4;in aantal verplaatsingen per dag;alle dagen
71;werken;te voet;0,0259979852344544;533;in aantal verplaatsingen per dag;alle dagen
71;werken;tram;0,00230556761902275;31;in aantal verplaatsingen per dag;alle dagen
71;werken;trein;0,0253435338105431;594;in aantal verplaatsingen per dag;alle dagen
71;winkelen, boodschappen doen;anders;0,00310935756595019;43;in aantal verplaatsingen per dag;alle dagen
71;winkelen, boodschappen doen;autobestuurder;0,321055780217732;6450;in aantal verplaatsingen per dag;alle dagen
71;winkelen, boodschappen doen;autopassagier +18;0,0625768748888;1181;in aantal verplaatsingen per dag;alle dagen
71;winkelen, boodschappen doen;autopassagier -18;0,0227687149001626;544;in aantal verplaatsingen per dag;alle dagen
71;winkelen, boodschappen doen;brom-/snorfiets of motor;0,00106147733765634;19;in aantal verplaatsingen per dag;alle dagen
71;winkelen, boodschappen doen;elektrische fiets;0,0484256343829026;1040;in aantal verplaatsingen per dag;alle dagen
71;winkelen, boodschappen doen;elektrische step/monowheel/hoverboard;0,000535287832567203;9;in aantal verplaatsingen per dag;alle dagen
71;winkelen, boodschappen doen;lijnbus;0,00889775973796193;150;in aantal verplaatsingen per dag;alle dagen
71;winkelen, boodschappen doen;metro;0,000286264336183135;5;in aantal verplaatsingen per dag;alle dagen
71;winkelen, boodschappen doen;niet-elektrische fiets;0,0521012612446595;1090;in aantal verplaatsingen per dag;alle dagen
71;winkelen, boodschappen doen;speed pedelec;0,00264277626627683;48;in aantal verplaatsingen per dag;alle dagen
71;winkelen, boodschappen doen;taxi of vergelijkbaar;0,000369083975208527;4;in aantal verplaatsingen per dag;alle dagen
71;winkelen, boodschappen doen;te voet;0,110811510638535;2273;in aantal verplaatsingen per dag;alle dagen
71;winkelen, boodschappen doen;tram;0,00406843486322892;54;in aantal verplaatsingen per dag;alle dagen
71;winkelen, boodschappen doen;trein;0,00324397426963615;74;in aantal verplaatsingen per dag;alle dagen
71;zakelijke verplaatsing;anders;0,00490967052277598;72;in aantal verplaatsingen per dag;alle dagen
71;zakelijke verplaatsing;autobestuurder;0,050316288129585;1120;in aantal verplaatsingen per dag;alle dagen
71;zakelijke verplaatsing;autopassagier +18;0,0054445888451661;120;in aantal verplaatsingen per dag;alle dagen
71;zakelijke verplaatsing;autopassagier -18;0,000566764434570442;10;in aantal verplaatsingen per dag;alle dagen
71;zakelijke verplaatsing;brom-/snorfiets of motor;0,000341184705537989;5;in aantal verplaatsingen per dag;alle dagen
